name,dob,event_date,name_key,source
patrick cote,1980-02-29,2008-01-23,patrick cote,odds_frame
mike swick,1979-06-19,2008-01-23,mike swick,odds_frame
joshua burkman,1980-04-10,2008-01-23,joshua burkman,odds_frame
drew mcfedries,1978-07-27,2008-01-23,drew mcfedries,odds_frame
michihiro omigawa,1975-12-19,2008-01-23,michihiro omigawa,odds_frame
dennis siver,1979-01-13,2008-01-23,dennis siver,odds_frame
cole miller,1984-04-26,2008-01-23,cole miller,odds_frame
justin buchholz,1983-08-22,2008-01-23,justin buchholz,odds_frame
jeremy stephens,1986-05-25,2008-01-23,jeremy stephens,odds_frame
matt wiman,1983-09-19,2008-01-23,matt wiman,odds_frame
antonio rodrigo nogueira,1976-06-02,2008-02-02,antonio rodrigo nogueira,odds_frame
tim sylvia,1976-03-05,2008-02-02,tim sylvia,odds_frame
gleison tibau,1983-10-07,2008-02-02,gleison tibau,odds_frame
keita nakamura,1984-05-22,2008-02-02,keita nakamura,odds_frame
david heath,1976-02-10,2008-02-02,david heath,odds_frame
brock lesnar,1977-07-12,2008-02-02,brock lesnar,odds_frame
jeremy horn,1975-08-25,2008-02-02,jeremy horn,odds_frame
nate marquardt,1979-04-20,2008-02-02,nate marquardt,odds_frame
tim boetsch,1981-01-28,2008-02-02,tim boetsch,odds_frame
frank mir,1979-05-24,2008-02-02,frank mir,odds_frame
rob emerson,1981-07-30,2008-02-02,rob emerson,odds_frame
tyson griffin,1984-04-20,2008-02-02,tyson griffin,odds_frame
josh koscheck,1977-11-30,2008-03-01,josh koscheck,odds_frame
dan henderson,1970-08-24,2008-03-01,dan henderson,odds_frame
alessio sakara,1981-09-02,2008-03-01,alessio sakara,odds_frame
evan tanner,1971-02-11,2008-03-01,evan tanner,odds_frame
chris wilson,1977-06-07,2008-03-01,chris wilson,odds_frame
dustin hazelett,1986-04-29,2008-03-01,dustin hazelett,odds_frame
cheick kongo,1975-05-17,2008-03-01,cheick kongo,odds_frame
jon fitch,1978-02-24,2008-03-01,jon fitch,odds_frame
anderson silva,1975-04-14,2008-03-01,anderson silva,odds_frame
heath herring,1978-03-02,2008-03-01,heath herring,odds_frame
chris leben,1980-07-21,2008-03-01,chris leben,odds_frame
yushin okami,1981-07-21,2008-03-01,yushin okami,odds_frame
kurt pellegrino,1979-05-07,2008-04-02,kurt pellegrino,odds_frame
tommy speer,1984-08-20,2008-04-02,tommy speer,odds_frame
roman mitichyan,1978-09-04,2008-04-02,roman mitichyan,odds_frame
samy schiavo,1975-12-24,2008-04-02,samy schiavo,odds_frame
din thomas,1976-09-28,2008-04-02,din thomas,odds_frame
tim boetsch,1981-01-28,2008-04-02,tim boetsch,odds_frame
karo parisyan,1982-08-28,2008-04-02,karo parisyan,odds_frame
gray maynard,1979-05-09,2008-04-02,gray maynard,odds_frame
frankie edgar,1981-10-16,2008-04-02,frankie edgar,odds_frame
thiago alves,1983-10-03,2008-04-02,thiago alves,odds_frame
kenny florian,1976-05-26,2008-04-02,kenny florian,odds_frame
nate diaz,1985-04-16,2008-04-02,nate diaz,odds_frame
anthony johnson,1984-03-06,2008-04-02,anthony johnson,odds_frame
george sotiropoulos,1977-07-09,2008-04-02,george sotiropoulos,odds_frame
clay guida,1981-12-08,2008-04-02,clay guida,odds_frame
josh neer,1983-03-24,2008-04-02,josh neer,odds_frame
matt hamill,1976-10-05,2008-04-02,matt hamill,odds_frame
joe lauzon,1984-05-22,2008-04-02,joe lauzon,odds_frame
alan belcher,1984-04-24,2008-04-19,alan belcher,odds_frame
georges st-pierre,1981-05-19,2008-04-19,georges st pierre,odds_frame
michael bisping,1979-02-28,2008-04-19,michael bisping,odds_frame
mac danzig,1980-01-02,2008-04-19,mac danzig,odds_frame
jason day,1981-05-19,2008-04-19,jason day,odds_frame
brad morris,1979-11-01,2008-04-19,brad morris,odds_frame
sam stout,1984-04-23,2008-04-19,sam stout,odds_frame
mark bocek,1981-10-24,2008-04-19,mark bocek,odds_frame
ed herman,1980-10-02,2008-04-19,ed herman,odds_frame
matt serra,1974-06-02,2008-04-19,matt serra,odds_frame
cain velasquez,1982-07-28,2008-04-19,cain velasquez,odds_frame
rich clementi,1976-03-31,2008-04-19,rich clementi,odds_frame
demian maia,1977-11-06,2008-04-19,demian maia,odds_frame
charles mccarthy,1980-08-06,2008-04-19,charles mccarthy,odds_frame
thiago silva,1982-11-12,2008-05-24,thiago silva,odds_frame
rich clementi,1976-03-31,2008-05-24,rich clementi,odds_frame
rousimar palhares,1980-02-26,2008-05-24,rousimar palhares,odds_frame
dong hyun kim,1981-11-17,2008-05-24,dong hyun kim,odds_frame
wanderlei silva,1976-07-03,2008-05-24,wanderlei silva,odds_frame
bj penn,1978-12-13,2008-05-24,bj penn,odds_frame
lyoto machida,1978-05-30,2008-05-24,lyoto machida,odds_frame
sean sherk,1973-08-05,2008-05-24,sean sherk,odds_frame
keith jardine,1975-10-31,2008-05-24,keith jardine,odds_frame
antonio mendes,1981-04-19,2008-05-24,antonio mendes,odds_frame
terry etim,1986-01-11,2008-05-24,terry etim,odds_frame
ivan salaverry,1971-01-11,2008-05-24,ivan salaverry,odds_frame
jason tan,1981-12-17,2008-05-24,jason tan,odds_frame
tito ortiz,1975-01-23,2008-05-24,tito ortiz,odds_frame
thiago alves,1983-10-03,2008-06-07,thiago alves,odds_frame
jorge rivera,1972-02-28,2008-06-07,jorge rivera,odds_frame
thales leites,1981-09-06,2008-06-07,thales leites,odds_frame
matt wiman,1983-09-19,2008-06-07,matt wiman,odds_frame
kevin burns,1980-03-03,2008-06-07,kevin burns,odds_frame
fabricio werdum,1977-07-30,2008-06-07,fabricio werdum,odds_frame
mike swick,1979-06-19,2008-06-07,mike swick,odds_frame
matt hughes,1973-10-13,2008-06-07,matt hughes,odds_frame
martin kampmann,1982-04-17,2008-06-07,martin kampmann,odds_frame
nate marquardt,1979-04-20,2008-06-07,nate marquardt,odds_frame
jason day,1981-05-19,2008-06-07,jason day,odds_frame
thiago tavares,1984-11-08,2008-06-07,thiago tavares,odds_frame
roan carneiro,1978-06-02,2008-06-07,roan carneiro,odds_frame
brandon vera,1977-10-10,2008-06-07,brandon vera,odds_frame
marcus davis,1973-08-24,2008-06-07,marcus davis,odds_frame
michael bisping,1979-02-28,2008-06-07,michael bisping,odds_frame
spencer fisher,1976-05-09,2008-06-21,spencer fisher,odds_frame
joshua burkman,1980-04-10,2008-06-21,joshua burkman,odds_frame
jeremy stephens,1986-05-25,2008-06-21,jeremy stephens,odds_frame
luigi fioravanti,1981-01-22,2008-06-21,luigi fioravanti,odds_frame
cb dollaway,1983-08-10,2008-06-21,cb dollaway,odds_frame
amir sadollah,1980-08-27,2008-06-21,amir sadollah,odds_frame
dustin hazelett,1986-04-29,2008-06-21,dustin hazelett,odds_frame
diego sanchez,1981-12-31,2008-06-21,diego sanchez,odds_frame
melvin guillard,1983-03-30,2008-07-05,melvin guillard,odds_frame
quinton jackson,1978-06-20,2008-07-05,quinton jackson,odds_frame
gleison tibau,1983-10-07,2008-07-05,gleison tibau,odds_frame
justin mccully,1976-02-18,2008-07-05,justin mccully,odds_frame
dennis siver,1979-01-13,2008-07-05,dennis siver,odds_frame
jorge gurgel,1977-01-25,2008-07-05,jorge gurgel,odds_frame
ricardo almeida,1976-11-29,2008-07-05,ricardo almeida,odds_frame
chris lytle,1974-08-18,2008-07-05,chris lytle,odds_frame
forrest griffin,1979-03-16,2008-07-05,forrest griffin,odds_frame
josh koscheck,1977-11-30,2008-07-05,josh koscheck,odds_frame
patrick cote,1980-02-29,2008-07-05,patrick cote,odds_frame
cole miller,1984-04-26,2008-07-05,cole miller,odds_frame
gabriel gonzaga,1979-05-18,2008-07-05,gabriel gonzaga,odds_frame
joe stevenson,1982-06-15,2008-07-05,joe stevenson,odds_frame
james irvin,1978-09-12,2008-07-19,james irvin,odds_frame
cb dollaway,1983-08-10,2008-07-19,cb dollaway,odds_frame
kevin burns,1980-03-03,2008-07-19,kevin burns,odds_frame
frankie edgar,1981-10-16,2008-07-19,frankie edgar,odds_frame
brandon vera,1977-10-10,2008-07-19,brandon vera,odds_frame
hermes franca,1974-08-26,2008-07-19,hermes franca,odds_frame
anderson silva,1975-04-14,2008-07-19,anderson silva,odds_frame
anthony johnson,1984-03-06,2008-07-19,anthony johnson,odds_frame
reese andy,1973-03-31,2008-07-19,reese andy,odds_frame
jesse taylor,1983-01-02,2008-07-19,jesse taylor,odds_frame
jon fitch,1978-02-24,2008-08-09,jon fitch,odds_frame
ryan thomas,1984-11-05,2008-08-09,ryan thomas,odds_frame
luke cummo,1980-04-27,2008-08-09,luke cummo,odds_frame
heath herring,1978-03-02,2008-08-09,heath herring,odds_frame
dan evensen,1974-06-01,2008-08-09,dan evensen,odds_frame
andre gusmao,1977-05-19,2008-08-09,andre gusmao,odds_frame
jon jones,1987-07-19,2008-08-09,jon jones,odds_frame
brock lesnar,1977-07-12,2008-08-09,brock lesnar,odds_frame
georges st-pierre,1981-05-19,2008-08-09,georges st pierre,odds_frame
demian maia,1977-11-06,2008-08-09,demian maia,odds_frame
cheick kongo,1975-05-17,2008-08-09,cheick kongo,odds_frame
tamdan mccrory,1986-11-05,2008-08-09,tamdan mccrory,odds_frame
ben saunders,1983-04-13,2008-08-09,ben saunders,odds_frame
jason macdonald,1975-06-03,2008-08-09,jason macdonald,odds_frame
rich franklin,1974-10-05,2008-09-06,rich franklin,odds_frame
ryo chonan,1976-10-08,2008-09-06,ryo chonan,odds_frame
chuck liddell,1969-12-17,2008-09-06,chuck liddell,odds_frame
matt hamill,1976-10-05,2008-09-06,matt hamill,odds_frame
rousimar palhares,1980-02-26,2008-09-06,rousimar palhares,odds_frame
martin kampmann,1982-04-17,2008-09-06,martin kampmann,odds_frame
matt brown,1981-01-10,2008-09-06,matt brown,odds_frame
rashad evans,1979-09-25,2008-09-06,rashad evans,odds_frame
thiago tavares,1984-11-08,2008-09-06,thiago tavares,odds_frame
roan carneiro,1978-06-02,2008-09-06,roan carneiro,odds_frame
tim boetsch,1981-01-28,2008-09-06,tim boetsch,odds_frame
kurt pellegrino,1979-05-07,2008-09-06,kurt pellegrino,odds_frame
dong hyun kim,1981-11-17,2008-09-06,dong hyun kim,odds_frame
nate marquardt,1979-04-20,2008-09-06,nate marquardt,odds_frame
dan henderson,1970-08-24,2008-09-06,dan henderson,odds_frame
michael patt,,2008-09-06,michael patt,odds_frame
nate diaz,1985-04-16,2008-09-17,nate diaz,odds_frame
ed herman,1980-10-02,2008-09-17,ed herman,odds_frame
clay guida,1981-12-08,2008-09-17,clay guida,odds_frame
kyle bradley,1982-08-19,2008-09-17,kyle bradley,odds_frame
joe vedepo,,2008-09-17,joe vedepo,odds_frame
mac danzig,1980-01-02,2008-09-17,mac danzig,odds_frame
josh neer,1983-03-24,2008-09-17,josh neer,odds_frame
joe lauzon,1984-05-22,2008-09-17,joe lauzon,odds_frame
alessio sakara,1981-09-02,2008-09-17,alessio sakara,odds_frame
alan belcher,1984-04-24,2008-09-17,alan belcher,odds_frame
michael bisping,1979-02-28,2008-10-18,michael bisping,odds_frame
keith jardine,1975-10-31,2008-10-18,keith jardine,odds_frame
david baron,1973-02-15,2008-10-18,david baron,odds_frame
sam stout,1984-04-23,2008-10-18,sam stout,odds_frame
brandon vera,1977-10-10,2008-10-18,brandon vera,odds_frame
terry etim,1986-01-11,2008-10-18,terry etim,odds_frame
jim miller,1983-08-30,2008-10-18,jim miller,odds_frame
chris leben,1980-07-21,2008-10-18,chris leben,odds_frame
thiago alves,1983-10-03,2008-10-25,thiago alves,odds_frame
pete sell,1982-08-05,2008-10-25,pete sell,odds_frame
thales leites,1981-09-06,2008-10-25,thales leites,odds_frame
anderson silva,1975-04-14,2008-10-25,anderson silva,odds_frame
junior dos santos,1984-01-30,2008-10-25,junior dos santos,odds_frame
dan miller,1981-06-30,2008-10-25,dan miller,odds_frame
gray maynard,1979-05-09,2008-10-25,gray maynard,odds_frame
drew mcfedries,1978-07-27,2008-10-25,drew mcfedries,odds_frame
fabricio werdum,1977-07-30,2008-10-25,fabricio werdum,odds_frame
patrick cote,1980-02-29,2008-10-25,patrick cote,odds_frame
rich clementi,1976-03-31,2008-10-25,rich clementi,odds_frame
matt horwich,1978-10-02,2008-10-25,matt horwich,odds_frame
josh koscheck,1977-11-30,2008-10-25,josh koscheck,odds_frame
joshua burkman,1980-04-10,2008-10-25,joshua burkman,odds_frame
rafael dos anjos,1984-10-26,2008-11-15,rafael dos anjos,odds_frame
randy couture,1963-06-22,2008-11-15,randy couture,odds_frame
gabriel gonzaga,1979-05-18,2008-11-15,gabriel gonzaga,odds_frame
jeremy stephens,1986-05-25,2008-11-15,jeremy stephens,odds_frame
josh hendricks,1976-08-28,2008-11-15,josh hendricks,odds_frame
brock lesnar,1977-07-12,2008-11-15,brock lesnar,odds_frame
demian maia,1977-11-06,2008-11-15,demian maia,odds_frame
jorge gurgel,1977-01-25,2008-11-15,jorge gurgel,odds_frame
dustin hazelett,1986-04-29,2008-11-15,dustin hazelett,odds_frame
aaron riley,1980-12-09,2008-11-15,aaron riley,odds_frame
alvin robinson,1982-07-16,2008-11-15,alvin robinson,odds_frame
nate quarry,1972-03-18,2008-11-15,nate quarry,odds_frame
tamdan mccrory,1986-11-05,2008-11-15,tamdan mccrory,odds_frame
mark bocek,1981-10-24,2008-11-15,mark bocek,odds_frame
josh koscheck,1977-11-30,2008-12-10,josh koscheck,odds_frame
brandon wolff,1975-10-18,2008-12-10,brandon wolff,odds_frame
jim miller,1983-08-30,2008-12-10,jim miller,odds_frame
ben saunders,1983-04-13,2008-12-10,ben saunders,odds_frame
jonathan goulet,1979-07-13,2008-12-10,jonathan goulet,odds_frame
matt wiman,1983-09-19,2008-12-10,matt wiman,odds_frame
yoshiyuki yoshida,1974-05-10,2008-12-10,yoshiyuki yoshida,odds_frame
mike swick,1979-06-19,2008-12-10,mike swick,odds_frame
anthony johnson,1984-03-06,2008-12-13,anthony johnson,odds_frame
efrain escudero,1986-01-15,2008-12-13,efrain escudero,odds_frame
kevin burns,1980-03-03,2008-12-13,kevin burns,odds_frame
ryan bader,1983-06-07,2008-12-13,ryan bader,odds_frame
phillipe nover,1984-02-03,2008-12-13,phillipe nover,odds_frame
tom lawlor,1983-05-15,2008-12-13,tom lawlor,odds_frame
george roop,1981-11-10,2008-12-13,george roop,odds_frame
vinny magalhaes,1984-07-02,2008-12-13,vinny magalhaes,odds_frame
shane nelson,1984-11-29,2008-12-13,shane nelson,odds_frame
kyle kingsbury,1982-03-22,2008-12-13,kyle kingsbury,odds_frame
frank mir,1979-05-24,2008-12-27,frank mir,odds_frame
rashad evans,1979-09-25,2008-12-27,rashad evans,odds_frame
cb dollaway,1983-08-10,2008-12-27,cb dollaway,odds_frame
forrest griffin,1979-03-16,2008-12-27,forrest griffin,odds_frame
yushin okami,1981-07-21,2008-12-27,yushin okami,odds_frame
pat barry,1979-07-07,2008-12-27,pat barry,odds_frame
mostapha al-turk,1973-07-14,2008-12-27,mostapha al turk,odds_frame
cheick kongo,1975-05-17,2008-12-27,cheick kongo,odds_frame
dan evensen,1974-06-01,2008-12-27,dan evensen,odds_frame
antonio rodrigo nogueira,1976-06-02,2008-12-27,antonio rodrigo nogueira,odds_frame
reese andy,1973-03-31,2008-12-27,reese andy,odds_frame
dean lister,1976-02-13,2008-12-27,dean lister,odds_frame
matt hamill,1976-10-05,2008-12-27,matt hamill,odds_frame
wanderlei silva,1976-07-03,2008-12-27,wanderlei silva,odds_frame
quinton jackson,1978-06-20,2008-12-27,quinton jackson,odds_frame
mike massenzio,1982-11-01,2008-12-27,mike massenzio,odds_frame
denis kang,1977-09-17,2009-01-17,denis kang,odds_frame
alexandre barros,1976-11-19,2009-01-17,alexandre barros,odds_frame
martin kampmann,1982-04-17,2009-01-17,martin kampmann,odds_frame
alan belcher,1984-04-24,2009-01-17,alan belcher,odds_frame
rousimar palhares,1980-02-26,2009-01-17,rousimar palhares,odds_frame
mauricio rua,1981-11-25,2009-01-17,mauricio rua,odds_frame
dan henderson,1970-08-24,2009-01-17,dan henderson,odds_frame
rich franklin,1974-10-05,2009-01-17,rich franklin,odds_frame
mark coleman,1964-12-20,2009-01-17,mark coleman,odds_frame
jeremy horn,1975-08-25,2009-01-17,jeremy horn,odds_frame
john howard,1983-03-01,2009-01-31,john howard,odds_frame
lyoto machida,1978-05-30,2009-01-31,lyoto machida,odds_frame
jon jones,1987-07-19,2009-01-31,jon jones,odds_frame
clay guida,1981-12-08,2009-01-31,clay guida,odds_frame
jon fitch,1978-02-24,2009-01-31,jon fitch,odds_frame
karo parisyan,1982-08-28,2009-01-31,karo parisyan,odds_frame
dong hyun kim,1981-11-17,2009-01-31,dong hyun kim,odds_frame
chris wilson,1977-06-07,2009-01-31,chris wilson,odds_frame
akihiro gono,1974-10-07,2009-01-31,akihiro gono,odds_frame
nate diaz,1985-04-16,2009-01-31,nate diaz,odds_frame
stephan bonnar,1977-04-04,2009-01-31,stephan bonnar,odds_frame
thiago silva,1982-11-12,2009-01-31,thiago silva,odds_frame
georges st-pierre,1981-05-19,2009-01-31,georges st pierre,odds_frame
bj penn,1978-12-13,2009-01-31,bj penn,odds_frame
jake rosholt,1982-02-09,2009-02-07,jake rosholt,odds_frame
gleison tibau,1983-10-07,2009-02-07,gleison tibau,odds_frame
matt veach,1981-05-31,2009-02-07,matt veach,odds_frame
dan miller,1981-06-30,2009-02-07,dan miller,odds_frame
anthony johnson,1984-03-06,2009-02-07,anthony johnson,odds_frame
josh neer,1983-03-24,2009-02-07,josh neer,odds_frame
cain velasquez,1982-07-28,2009-02-07,cain velasquez,odds_frame
jeremy stephens,1986-05-25,2009-02-07,jeremy stephens,odds_frame
denis stojnic,1980-02-02,2009-02-07,denis stojnic,odds_frame
mac danzig,1980-01-02,2009-02-07,mac danzig,odds_frame
luigi fioravanti,1981-01-22,2009-02-07,luigi fioravanti,odds_frame
matt grice,1981-07-29,2009-02-07,matt grice,odds_frame
rich clementi,1976-03-31,2009-02-07,rich clementi,odds_frame
joe lauzon,1984-05-22,2009-02-07,joe lauzon,odds_frame
demian maia,1977-11-06,2009-02-21,demian maia,odds_frame
diego sanchez,1981-12-31,2009-02-21,diego sanchez,odds_frame
terry etim,1986-01-11,2009-02-21,terry etim,odds_frame
nate marquardt,1979-04-20,2009-02-21,nate marquardt,odds_frame
junior dos santos,1984-01-30,2009-02-21,junior dos santos,odds_frame
evan dunham,1981-12-18,2009-02-21,evan dunham,odds_frame
josh koscheck,1977-11-30,2009-02-21,josh koscheck,odds_frame
stefan struve,1988-02-18,2009-02-21,stefan struve,odds_frame
per eklund,,2009-02-21,per eklund,odds_frame
brian cobb,,2009-02-21,brian cobb,odds_frame
joe stevenson,1982-06-15,2009-02-21,joe stevenson,odds_frame
wilson gouveia,1978-10-03,2009-02-21,wilson gouveia,odds_frame
chael sonnen,1977-04-03,2009-02-21,chael sonnen,odds_frame
paulo thiago,1981-01-25,2009-02-21,paulo thiago,odds_frame
tamdan mccrory,1986-11-05,2009-03-07,tamdan mccrory,odds_frame
ryan madigan,,2009-03-07,ryan madigan,odds_frame
aaron riley,1980-12-09,2009-03-07,aaron riley,odds_frame
michael patt,,2009-03-07,michael patt,odds_frame
tim boetsch,1981-01-28,2009-03-07,tim boetsch,odds_frame
keith jardine,1975-10-31,2009-03-07,keith jardine,odds_frame
jim miller,1983-08-30,2009-03-07,jim miller,odds_frame
mark munoz,1978-02-09,2009-03-07,mark munoz,odds_frame
shane nelson,1984-11-29,2009-03-07,shane nelson,odds_frame
shane carwin,1975-01-04,2009-03-07,shane carwin,odds_frame
matt hamill,1976-10-05,2009-03-07,matt hamill,odds_frame
gabriel gonzaga,1979-05-18,2009-03-07,gabriel gonzaga,odds_frame
quinton jackson,1978-06-20,2009-03-07,quinton jackson,odds_frame
jason brilz,1975-07-07,2009-03-07,jason brilz,odds_frame
brandon vera,1977-10-10,2009-03-07,brandon vera,odds_frame
